"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.31665660025074e-178,13.265170174075,0.997,0.296,1.89499698007522e-174,"4","Rpl27a"
3.20303737577231e-177,14.6512416481667,0.978,0.267,9.60911212731694e-174,"4","Rpl41"
1.24826869468001e-176,11.7006988972142,0.99,0.272,3.74480608404002e-173,"4","Tpt1"
1.50121371935865e-175,7.82391465631445,0.984,0.267,4.50364115807594e-172,"4","Fau"
4.08105733652776e-175,13.1487197409689,0.99,0.278,1.22431720095833e-171,"4","Rpl23"
5.69791178607493e-174,5.98120970405219,0.984,0.262,1.70937353582248e-170,"4","Rps8"
1.3271188738776e-173,9.45582769249857,0.987,0.27,3.9813566216328e-170,"4","Rps24"
5.60962227133227e-173,8.31272161005534,0.968,0.197,1.68288668139968e-169,"4","Ftl1"
2.25624583497034e-172,12.5891591306419,0.987,0.29,6.76873750491102e-169,"4","Rplp2"
1.32185786824176e-171,9.41483315457951,0.978,0.284,3.96557360472529e-168,"4","Rpl32"
1.71391867880008e-171,10.2741407953542,0.994,0.292,5.14175603640025e-168,"4","Rps10"
2.62277673044498e-171,13.2091034671149,0.984,0.29,7.86833019133495e-168,"4","Rps23"
3.74861909849621e-171,9.39304624041297,0.981,0.282,1.12458572954886e-167,"4","Rpl13"
1.76691916293967e-170,11.9506859024634,0.984,0.281,5.300757488819e-167,"4","Rpl19"
2.17386474907642e-170,14.5839256474121,0.981,0.31,6.52159424722927e-167,"4","Eef1a1"
4.79797711064992e-170,14.5295195793438,0.974,0.28,1.43939313319498e-166,"4","Tyrobp"
1.74156447587568e-169,9.32168394155588,0.984,0.278,5.22469342762705e-166,"4","Rps27a"
2.52994374954861e-169,10.047933684715,0.984,0.288,7.58983124864583e-166,"4","Rps21"
2.53814136721362e-167,11.6771190557336,0.968,0.294,7.61442410164086e-164,"4","Rpl21"
3.5002882537145e-167,6.99736569777962,0.968,0.262,1.05008647611435e-163,"4","Rps26"
1.86057967954109e-166,9.94529288837821,0.978,0.288,5.58173903862327e-163,"4","Rpl37a"
1.50614826168774e-165,10.1744760448773,0.974,0.285,4.51844478506321e-162,"4","Rps16"
2.20683781709198e-165,10.9753996865602,0.978,0.29,6.62051345127595e-162,"4","Rps15a"
2.21868046795792e-165,11.8873721759314,0.978,0.291,6.65604140387377e-162,"4","Rps4x"
6.98165798295836e-165,13.4624888281297,0.978,0.294,2.09449739488751e-161,"4","Rpl37"
1.78581601088397e-164,10.1096267414358,0.958,0.283,5.35744803265191e-161,"4","Rps3a1"
2.9031183957498e-164,10.5030146101555,0.974,0.294,8.70935518724939e-161,"4","Rpl35a"
1.12212823825681e-163,11.4345027296931,0.978,0.301,3.36638471477044e-160,"4","Rpl10"
1.99070745691188e-163,4.0116939749463,0.978,0.261,5.97212237073564e-160,"4","Rps19"
3.59634575937089e-163,10.7376203800367,0.981,0.295,1.07890372781127e-159,"4","Rpl30"
6.17910666794993e-163,10.125469505289,0.971,0.295,1.85373200038498e-159,"4","Rpl11"
1.11698468623994e-162,9.32481061498026,0.971,0.286,3.35095405871983e-159,"4","Rps18"
6.79684476968713e-162,10.6868219080712,0.978,0.283,2.03905343090614e-158,"4","Rplp0"
1.42585019279294e-161,8.77308174894451,0.971,0.279,4.27755057837881e-158,"4","Rpsa"
3.86624964566748e-161,4.99945533838794,0.978,0.28,1.15987489370024e-157,"4","Rpl28"
6.29165881055555e-161,9.20774425692012,0.971,0.284,1.88749764316667e-157,"4","Rpl26"
1.15337660010057e-160,10.0138153556671,0.968,0.29,3.46012980030171e-157,"4","Rpl12"
1.70642865979618e-160,8.62237931571011,0.962,0.301,5.11928597938853e-157,"4","Rps13"
1.33506519633011e-159,13.3405778920169,0.952,0.276,4.00519558899033e-156,"4","Rps20"
1.87097538839855e-159,9.98717185259673,0.958,0.285,5.61292616519566e-156,"4","Rps7"
4.95727427516353e-159,4.02358596481234,0.971,0.291,1.48718228254906e-155,"4","Rps11"
9.57138804949534e-158,11.2035026273276,0.958,0.29,2.8714164148486e-154,"4","Rpl39"
3.11274989619899e-157,14.206923586679,0.939,0.298,9.33824968859696e-154,"4","Ppia"
5.04079377984189e-157,6.52384790942897,0.965,0.313,1.51223813395257e-153,"4","Rps3"
5.19323141047609e-157,7.59433746677505,0.965,0.305,1.55796942314283e-153,"4","Rpl13a"
4.17445135162737e-156,10.9375390635817,0.962,0.285,1.25233540548821e-152,"4","Rps28"
2.87605739057554e-155,4.05109589071398,0.962,0.284,8.6281721717266e-152,"4","Rpl9"
4.49118633387874e-155,6.89275144152839,0.952,0.282,1.34735590016362e-151,"4","Rps5"
2.02349368536792e-154,13.9586832336823,0.949,0.269,6.07048105610377e-151,"4","Rpl35"
4.51727925075282e-154,11.0165218004724,0.952,0.299,1.35518377522584e-150,"4","Rpl17"
1.41861304987295e-153,7.2623747563279,0.958,0.285,4.25583914961884e-150,"4","Rpl15"
2.79352182770815e-153,9.42921825839172,0.942,0.291,8.38056548312444e-150,"4","Rpl34"
